r_value,g_value,b_value,nir_reflectance,soil_brightness,ec_value,moisture_percent,pH_level,estimated_nitrogen,estimated_phosphorus,estimated_potassium
152,94,91,0.82,0.35,0.61,29.83,5.7,41.65,27.55,14.92
142,160,167,0.85,0.68,2.73,41.1,6.81,59.49,33.75,52.58
64,190,78,0.61,0.34,1.82,53.12,6.53,66.92,42.8,38.07
156,60,121,0.6,0.48,2.98,57.48,7.96,28.97,10.76,56.34
121,64,143,0.78,0.76,0.68,17.35,5.78,37.14,30.11,18.36
70,201,168,0.69,0.31,1.88,56.33,6.49,69.47,44.3,36.89
152,162,50,0.72,0.75,2.92,34.61,7.92,64.51,37.48,51.2
171,86,81,0.78,0.46,1.81,22.91,7.66,45.86,16.32,29.42
124,196,138,0.83,0.36,2.07,32.96,7.54,75.39,33.42,35.47
137,74,46,0.5,0.68,2.24,59,6.14,40.86,26.42,43.85
166,149,129,0.53,0.65,1.64,34.63,5.93,50.29,35.98,32.64
149,101,151,0.36,0.78,2.07,26.44,7.17,29.94,40.27,33.94
153,183,99,0.65,0.7,1.96,41.67,7.82,56.37,39.47,44.01
180,122,152,0.32,0.74,2.75,22.01,6.89,49.7,39.64,41.18
199,155,41,0.58,0.46,0.61,13.79,6.93,60.51,42.59,10.97
102,111,168,0.63,0.4,1.2,16.44,6.2,45.02,27.81,19.09
51,155,87,0.47,0.71,2.88,16.4,7.42,55.46,35.72,53.71
137,191,179,0.65,0.74,2.73,17.6,5.97,63.61,48.35,45.45
87,210,76,0.32,0.84,1.64,16.94,6.31,81.25,58.85,33.15
179,202,48,0.32,0.53,2.05,42.04,6.56,67.53,50.46,31.73
70,88,138,0.79,0.5,1.19,19.09,6.77,42.21,27.11,23
107,95,87,0.52,0.73,0.97,27.28,6.11,41.75,36.65,24.45
71,72,170,0.38,0.49,1.66,54.84,5.79,30.19,19.35,36.28
138,219,93,0.61,0.81,1.38,33.7,7.03,77.96,60.97,32.77
98,130,159,0.76,0.77,1.96,43.38,6.22,49.69,40.53,35.49
108,145,155,0.43,0.54,0.69,18.62,6.95,53.56,34.91,21.12
64,87,114,0.67,0.71,2.94,19.61,5.89,47.69,18.61,59.52
100,125,152,0.35,0.71,2.97,12.04,6.7,50.83,34.42,45.14
157,104,143,0.33,0.36,2.25,18.45,6.83,45.11,21.03,35.21
104,121,123,0.62,0.8,1.84,23.93,5.63,44.4,38.26,39.65
113,193,151,0.62,0.58,1.27,18.85,6.34,65.03,49.72,30.72
180,87,138,0.68,0.75,2.53,14.44,5.84,37.75,28.64,38.22
100,87,132,0.74,0.48,2.21,16.03,5.66,39.5,18.59,34.26
184,167,167,0.89,0.79,0.91,33.04,7.97,70.43,49.44,18.85
70,103,149,0.61,0.51,2.78,20.32,6.31,34.26,22.78,39.04
122,143,121,0.49,0.31,2.56,28.21,7.52,58.31,21.19,39.45
67,89,93,0.78,0.8,2.87,35.17,6.14,40.79,29.08,45.06
181,134,107,0.46,0.35,2.31,44.52,7.2,45.87,18.94,39.72
138,187,72,0.56,0.48,2.03,11.97,7.4,60.44,45.77,32.67
109,151,60,0.35,0.82,1.55,49.97,6.99,43.05,48.94,34.42
63,188,87,0.32,0.82,2.83,41.4,6.68,66.56,49.07,58.48
58,180,167,0.88,0.62,2.67,14.09,6.53,71.91,45.18,37.88
139,86,175,0.8,0.65,0.61,53.68,6.37,35.09,40.31,24.81
102,180,174,0.72,0.55,0.57,56.04,7.82,59.28,53.71,18.69
179,175,167,0.55,0.46,1.44,13.05,7.58,59.66,34.24,23.96
133,62,72,0.4,0.48,2.53,23.84,7.91,32.13,9.03,46.09
141,162,154,0.39,0.67,2.97,50.31,5.81,53.72,35.15,49
160,214,158,0.45,0.71,0.88,47.41,7.33,64.02,59.8,24.59
57,196,61,0.63,0.74,1.99,19.23,7.85,67.47,53.52,34.53
84,121,77,0.73,0.73,1.45,20.47,5.95,48.44,35.95,28.31
130,110,148,0.7,0.35,2.92,28.52,5.67,31.86,18.65,50.95
99,211,90,0.47,0.57,2.61,34.23,7.35,70.73,43.23,58.27
153,118,47,0.87,0.33,2.6,40.91,6.94,50.77,18.05,43.99
181,177,66,0.74,0.6,1.67,28.45,7.6,69.18,39.42,28.09
51,219,66,0.63,0.54,1.54,33.13,5.85,86.24,48.61,26.61
